Firm Name,Category,City,State,Region,Website,Focus/Sector,AUM/Fund Size,Deal Size/Criteria,Priority,Founded,Team Size,Description,Contact Email,UW Foster Relevance,Notes
Great Range Capital,Private Equity,Kansas City,MO,Midwest,N/A,"Kansas/Midwest companies",~$200M,"Lower mid-market",3,2010,~6,"Founded by KC natives; occasionally hires (Kansas, Mizzou MBAs)",,Low,
Koch Disruptive Technologies,Corporate Venture,Wichita,KS,Midwest,N/A,"Growth-stage tech, industrial innovation",N/A,"Venture/PE",1,N/A,N/A,"Koch Industries arm; hires MBAs (especially engineering + MBA from MIT, Chicago)",,Low,
Drive Capital,Venture Capital,Columbus,OH,Midwest,N/A,"Rise of the Rest regions",$1B+,"Multi-stage",1,N/A,N/A,"Ex-Sequoia partners; has hired multiple MBAs with Midwest connections",,Low,
Rev1 Ventures,Venture Capital,Columbus,OH,Midwest,N/A,"Startup studio + VC",N/A,"Early-stage",3,N/A,N/A,"Connected to Ohio State; MBA grads can join EIR program",,Low,
Walton Enterprises,Family Office,Bentonville,AR,Midwest,N/A,"PE funds, energy investments",N/A,"Multi-billion family office",3,N/A,N/A,"Walmart heirs; quietly hires seasoned investors; not entry-level",,Low,
Piper Group International,Investment Banking,Portland,OR,PNW,N/A,Middle-market sell-side,N/A,National,3,N/A,N/A,"40+ years old; emphasizes improving clients' positions",,Low,
The London Manhattan Co.,Investment Banking,Portland,OR,PNW,N/A,"Complex financings, restructurings",N/A,N/A,3,N/A,N/A,,,Low,
Madison Street Capital,Investment Banking,Portland,OR,PNW,N/A,Middle-market corporate finance,N/A,N/A,3,N/A,N/A,"MSC-BD division presence in PDX",,Low,
Drake Star Partners,Investment Banking,San Francisco,CA,Bay Area,N/A,"Tech, healthcare M&A",N/A,N/A,2,N/A,N/A,,,Low,
AGC Partners,Investment Banking,San Francisco,CA,Bay Area,N/A,Tech M&A,N/A,N/A,2,N/A,N/A,"West Coast team",,Low,
RA Capital Advisors,Investment Banking,San Diego,CA,San Diego,raca.com,Sell-side M&A,N/A,"First-time sellers",2,N/A,N/A,"Ex-Drexel banker Ken Lodwig founded; very selective",,Low,
Objective Capital Partners,Investment Banking,San Diego,CA,San Diego,objectiveibv.com,Lower middle-market M&A,N/A,"500+ deals",2,2006,N/A,"M&A advisory and valuation; SoCal focus",,Low,"Might recruit from UCSD, USD"
W Partners,Investment Banking,San Diego,CA,San Diego,wpartners.com,Boutique M&A,N/A,"M&A, capital solutions",3,N/A,N/A,"Also Utah presence",,Low,
JCF Capital Markets,Investment Banking,San Diego,CA,San Diego,N/A,M&A boutique,N/A,N/A,3,N/A,<10,,,Low,
Claiborne Advisors,Investment Banking,San Diego,CA,San Diego,N/A,M&A boutique,N/A,N/A,3,N/A,<10,,,Low,
Colonnade,Investment Banking,Phoenix,AZ,Southwest,N/A,Financial services M&A,N/A,N/A,3,N/A,N/A,,,Low,
HGGC,Private Equity,Palo Alto,CA,Bay Area,hggc.com,"Tech, business services",~$4B,"Mid-market",1,N/A,N/A,"Co-founded by Steve Young; Utah (Silicon Slopes) focus",,Low,"Recruits MBAs with BYU/Utah connections"
Telegraph Hill Partners,Private Equity,San Francisco,CA,Bay Area,N/A,"Life sciences, medical tech",~$800M,Growth equity,2,2001,N/A,"Lean team with deep sector expertise",,Low,"Hires those with advanced science degrees + MBA"
Clearlake Capital,Private Equity,Santa Monica,CA,Los Angeles,clearlake.com,"Software, industrials",~$70B,Buyouts,1,N/A,N/A,"Top-performing PE; co-founded by José Feliciano (Stanford MBA)",,Low,"Recruits from top programs"
Platinum Equity,Private Equity,Beverly Hills,CA,Los Angeles,platinumequity.com,"Industrials, tech",~$25B,"Operational turnarounds",1,N/A,N/A,"Founded by Tom Gores",,Low,"Hires MBA associates"
OpenGate Capital,Private Equity,Los Angeles,CA,Los Angeles,opengatecapital.com,Lower middle-market,N/A,Turnarounds,3,N/A,N/A,"Lean team; TV Guide acquisition",,Low,"Opportunistic MBA hires"
Mosaic Capital,Private Equity,Los Angeles,CA,Los Angeles,N/A,"Media, tech",N/A,Growth equity,3,N/A,N/A,,,Low,
Phoenix Capital Partners,Private Equity,Phoenix,AZ,Southwest,N/A,Local LMM PE,N/A,N/A,3,N/A,N/A,,,Low,
SeaChange Fund,Venture Capital,Seattle,WA,PNW,N/A,Seattle startups,N/A,Angel/seed,3,N/A,N/A,,,Low,
Curious Capital,Venture Capital,Seattle,WA,PNW,N/A,Tech startups,N/A,N/A,3,N/A,N/A,"Spin-out from Curious Office incubator",,Low,
Unlock Venture Partners,Venture Capital,Seattle,WA,PNW,N/A,Tech startups,N/A,Seed,3,N/A,N/A,"Seattle & LA seed fund",,Low,
DCM Ventures,Venture Capital,Menlo Park,CA,Bay Area,dcm.com,"US-Asia cross-border",~$4B,Early-stage,1,N/A,N/A,"Recruits at Stanford GSB; hires pre-MBA associates",,Low,"Bilingual talent valued for US-Asia focus"
Sapphire Ventures,Venture Capital,Palo Alto,CA,Bay Area,sapphireventures.com,Enterprise tech,~$8B,"Series B+",1,N/A,~25,"Spun out of SAP; MBA summer associate program",,Low,"Actively hires MBA interns from Wharton, Harvard"
Moonshots Capital,Venture Capital,Los Angeles,CA,Los Angeles,N/A,Veteran-founded startups,~$40M,Seed,3,N/A,N/A,"GPs are ex-military MBAs",,Low,"Engages with UCLA Anderson veteran community"
Okapi Ventures,Venture Capital,Irvine,CA,Los Angeles,N/A,Seed VC,N/A,Seed,3,N/A,N/A,"Collaborates with UC Irvine MBA",,Low,
Section 32,Venture Capital,San Diego,CA,San Diego,N/A,"Life sciences, tech",~$400M,N/A,2,N/A,N/A,"Founded by ex-Google Ventures head Bill Maris",,Low,"Looks for MD/PhDs or experienced tech MBAs"
Avalon Ventures,Venture Capital,La Jolla,CA,San Diego,N/A,Life sciences,N/A,N/A,3,N/A,N/A,"Long-running fund",,Low,"Hires PhD scientists; MBAs with biotech experience"
Analytics Ventures,Venture Capital,San Diego,CA,San Diego,N/A,AI startups,N/A,Incubator/seed,3,N/A,N/A,"Lean team",,Low,"Has had MBA interns from UCSD Rady"
BoomStartup,Venture Capital,Utah,UT,Mountain West,N/A,Accelerator VC,N/A,Seed,3,N/A,N/A,"Similar to TechStars; accelerator program",,Low,"Offers fellowship for MBA students"
PHX Ventures,Venture Capital,Phoenix,AZ,Southwest,N/A,Tech startups,N/A,N/A,3,N/A,N/A,"Local serial entrepreneurs",,Low,
Arizona Tech Investors,Venture Capital,Phoenix,AZ,Southwest,N/A,Angel network,N/A,Angel/seed,3,N/A,N/A,,,Low,
Virgin Pulse Ventures,Venture Capital,Minneapolis,MN,Midwest,N/A,Healthtech,N/A,N/A,3,N/A,N/A,"Tied to Virgin Pulse; Mayo Clinic/UnitedHealth presence in MN",,Low,"Sometimes hires MBA interns"
Sentiero Ventures,Venture Capital,Dallas,TX,Texas,N/A,AI-focused,N/A,Seed,3,N/A,N/A,,,Low,
Cypress Growth Capital,Venture Capital,Dallas,TX,Texas,N/A,Royalty-based growth,N/A,Growth,3,N/A,N/A,,,Low,
Perot Jain,Venture Capital,Dallas,TX,Texas,N/A,Seed,N/A,Seed,3,N/A,N/A,"Ross Perot Jr. seed fund",,Low,
Summit Global,Hedge Fund,Portland,OR,PNW,N/A,Wealth advisory,N/A,N/A,3,N/A,N/A,"Bill Parish affiliated",,Low,
Broadmark Asset Management,Hedge Fund,Portland,OR,PNW,N/A,Long/short equity,~$1B,Tactical allocation,3,N/A,N/A,,,Low,"Might hire CFA/MBA as analyst"
Winton,Hedge Fund,San Francisco,CA,Bay Area,winton.com,Quantitative,~$10B+,"Systematic strategies",2,N/A,N/A,"UK-based; SF research office",,Low,"Hires quant PhDs; occasionally MBAs for strategy roles"
Coatue,Hedge Fund,Menlo Park,CA,Bay Area,coatue.com,Tech long/short,Multi-billion,N/A,1,N/A,N/A,"Tiger Cub tech fund",,Low,"Might hire MBAs with deep tech backgrounds (ex-engineers)"
Holocene Advisors,Hedge Fund,San Francisco,CA,Bay Area,N/A,OCIO/HF strategies,N/A,N/A,3,N/A,N/A,"Client-facing HF analytics",,Low,"Could be MBA employer"
Dalton Investments,Hedge Fund,Santa Monica,CA,Los Angeles,daltoninvestments.com,Value-oriented,~$3B,"Asia, emerging markets",2,N/A,~15,"Founded by Jamie Rosenwald",,Low,"Occasionally hires MBA grads with international value interest"
Axon Capital,Hedge Fund,San Diego,CA,San Diego,N/A,Long/short equity,N/A,"Consumer, tech",3,N/A,N/A,"Tiger cub alumnus",,Low,"If hiring, wants pre-MBA or very experienced MBAs"
Brandes Investment Partners,Asset Manager,San Diego,CA,San Diego,brandes.com,Global value equity,~$20B,Value investing,2,N/A,N/A,"Founded by Charles Brandes (Buffett disciple)",,Low,"Hires CFA/MBA types for research"
Granite Investment Partners,Hedge Fund,Denver,CO,Mountain West,N/A,Long-only with HF sleeve,N/A,N/A,3,N/A,N/A,,,Low,"Typically hires CFAs from local area"
Grandeur Peak Global Advisors,Asset Manager,Salt Lake City,UT,Mountain West,N/A,Global micro/mid-cap,~$6B,Equities,2,N/A,N/A,"Ex-Wasatch Funds PMs",,Low,"Often hire CFA/MBAs from BYU for analyst roles"
Wasatch Global Investors,Asset Manager,Salt Lake City,UT,Mountain West,wasatchglobal.com,Small-cap growth,~$30B,Mutual funds,2,N/A,N/A,"Marriott School pipeline",,Low,"Recruits MBAs for equity research"
Astor Investment Management,Hedge Fund,Chicago,IL,Midwest,N/A,Macro,~$2B,N/A,3,N/A,N/A,,,Low,"Occasionally hires quant MBAs for research economist roles"
Toronado Partners,Hedge Fund,Chicago,IL,Midwest,N/A,Long/short equity,N/A,"Value/quality focus",3,N/A,3-4,"Tiger Cub",,Low,"Might hire MBA with deep stock picking passion via idea pitches"
PEAK6 Investments,Hedge Fund,Chicago,IL,Midwest,peak6.com,"Options trading, venture",N/A,Hybrid,2,N/A,N/A,"Trading and venture incubator",,Low,"Hires many MBAs for non-traditional roles; recruits at Booth"
Wealth Advisors Trust Company,Trust Company,Sioux Falls,SD,Midwest,wealthadvisorstrust.com,UHNW directed trusts,N/A,Trust administration,3,N/A,20-30,,,Low,"MBAs may join for complex family portfolio coordination"
National Advisors Trust of SD,Trust Company,Sioux Falls,SD,Midwest,N/A,Trust services,N/A,Back-office,3,N/A,N/A,"Advisor-owned",,Low,"Minimal direct investing roles"
Peterson Ventures,Venture Capital,Salt Lake City,UT,Mountain West,N/A,Family VC arm,N/A,Seed,3,N/A,3-4,"Part of Peterson Partners; early Vivint Solar investor",,Low,"Often hiring from BYU/Utah networks"
Larry H. Miller Group,Family Office,Salt Lake City,UT,Mountain West,N/A,Diversified investments,N/A,N/A,3,N/A,N/A,"Car dealerships, Utah Jazz; Miller Ventures fund",,Low,"MBAs with corp dev/direct investing interest"
DNS Capital,Family Office,Chicago,IL,Midwest,N/A,Multi-billion FO,N/A,Direct investing,2,N/A,N/A,"Gigi Pritzker's family office",,Low,"Lean team of ex-consultants/bankers; hires occasionally from MBA programs"
Zell Family Office (EGI),Family Office,Chicago,IL,Midwest,N/A,"Real estate, energy, VC",N/A,N/A,2,N/A,N/A,"Sam Zell's investment arm (Equity Group Investments)",,Low,"Has hired MBAs for investment analyst roles; values entrepreneurial grit"
Crown Family (Henry Crown & Co.),Family Office,Chicago,IL,Midwest,N/A,"Defense, Aspen Ski Co",N/A,N/A,3,N/A,N/A,"Very private",,Low,"Hires via connections (Northwestern/Kellogg network)"
Wayzata Investment Partners,Family Office,Minneapolis,MN,Midwest,N/A,Distressed investing,N/A,N/A,3,N/A,N/A,"Cargill/MacMillan families",,Low,"May re-emerge; MBAs might find roles via connections"
Harrison Street,Private Equity,Chicago,IL,Midwest,harrisonst.com,Real estate PE,Multi-billion,Alt asset manager,2,N/A,N/A,"Started as family office",,Low,"Recruits MBAs in real estate PE roles"
